area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId,createByUser,productType
"53,8 m²","5,95 tỷ",5 m,8 m,,Tây,,,,Sổ đỏ/ Sổ hồng,,16/10/2023,26/10/2023,Sale,LDP,38329069,0,5,False,False,283,SG,71,11845,3789,227,,
59 m²,"4,5 tỷ",,,,,,,,Sổ đỏ/ Sổ hồng,,16/10/2023,26/10/2023,Sale,LDP,38328978,0,5,False,False,283,SG,71,134,7634,227,,
70 m²,"2,25 tỷ",,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,16/10/2023,26/10/2023,Sale,LDP,37596568,3189,5,False,False,324,SG,71,11895,11192,227,,
70 m²,"2,2 tỷ",,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,16/10/2023,26/10/2023,Sale,LDP,38240491,3189,5,False,False,324,SG,71,11895,11192,227,,
56 m²,"1,65 tỷ",,,,,,2 phòng,1 phòng,,Đầy đủ,16/10/2023,15/11/2023,Sale,LDP,38334458,0,5,False,False,324,SG,71,12440,0,227,,
"131,5 m²","8,99 tỷ",,,,,,,,Sổ đỏ/ Sổ hồng,,16/10/2023,31/10/2023,Sale,LDP,37821141,0,5,False,False,283,SG,71,137,0,227,,
"85,4 m²","10,5 tỷ","4,7 m","5,7 m",5 tầng,Tây - Nam,Tây - Nam,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16/10/2023,26/10/2023,Sale,LDP,38226832,0,5,False,False,41,SG,71,135,5971,227,,
501 m²,"16,5 tỷ",14 m,6 m,,,,,,Sổ đỏ/ Sổ hồng,,16/10/2023,15/11/2023,Sale,LDP,38093370,0,5,False,False,283,SG,71,137,11207,227,,
108 m²,"10,5 tỷ",7 m,15 m,3 tầng,,,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,16/10/2023,26/10/2023,Sale,LDP,36741440,0,5,False,False,41,SG,71,134,10331,227,,
59 m²,"7,8 tỷ","4,2 m",7 m,4 tầng,Đông - Bắc,Đông - Bắc,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,08/10/2023,23/10/2023,Sale,LDP,38272164,0,5,True,False,41,SG,71,11845,1998,227,,
59 m²,"4,7 tỷ",,,,,,,,Sổ đỏ/ Sổ hồng,,16/10/2023,26/10/2023,Sale,LDP,38328849,0,5,False,False,283,SG,71,134,7634,227,,
1.600 m²,125 tỷ,,,,,,,,,,16/10/2023,26/10/2023,Sale,LDP,36541292,0,5,False,False,283,SG,71,11953,0,227,,
300 m²,45 tỷ,,,,,,,,Sổ đỏ/ Sổ hồng,,14/10/2023,29/10/2023,Sale,LDP,34420880,0,5,False,False,163,SG,71,11953,4993,227,,
140 m²,"31,5 tỷ",,,6 tầng,,,,,Sổ đỏ/ Sổ hồng,Cơ bản,09/10/2023,08/11/2023,Sale,LDP,38053946,2034,5,False,False,325,SG,71,134,13607,227,,
80 m²,"6,5 tỷ",,,3 tầng,,,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16/10/2023,26/10/2023,Sale,LDP,37851246,0,5,False,False,41,SG,71,11916,0,227,,
816 m²,"191,76 tỷ",,30 m,,,,,,,,16/10/2023,26/10/2023,Sale,LDP,37999239,0,5,False,False,283,SG,71,12442,3057,227,,
"59,2 m²","7,6 tỷ",9 m,9 m,3 tầng,,,4 phòng,4 phòng,Sổ hồng,Đầy đủ,13/10/2023,23/10/2023,Sale,LDP,38311429,0,5,False,False,163,SG,71,134,7634,227,,
95 m²,"2,63 tỷ",,,,,,2 phòng,2 phòng,,,16/10/2023,26/10/2023,Sale,LDP,37412879,492,5,False,False,324,SG,71,11845,1990,227,,
68 m²,"2,47 tỷ",,,,,,2 phòng,2 phòng,,,21/10/2023,31/10/2023,Sale,LDP,38288276,2285,5,False,False,324,SG,71,11845,689,227,,
66 m²,"2,89 tỷ",,,,,,2 phòng,2 phòng,,,20/10/2023,30/10/2023,Sale,LDP,38030995,2571,5,False,False,324,SG,71,11953,4996,227,,
140 m²,"5,3 tỷ",,,3 tầng,,,4 phòng,3 phòng,,,16/10/2023,31/10/2023,Sale,LDP,38168685,0,5,False,False,41,SG,71,137,4781,227,,
51 m²,"2,1 tỷ",,,,,,1 phòng,,,,13/10/2023,23/10/2023,Sale,LDP,38315789,3049,5,False,False,324,SG,71,11845,3789,227,,
50 m²,"2,15 tỷ",,,,,,1 phòng,1 phòng,,,13/10/2023,23/10/2023,Sale,LDP,38315756,3049,5,False,False,324,SG,71,11845,3789,227,,
69 m²,Thỏa thuận,,,,Đông - Bắc,Đông - Nam,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,16/10/2023,26/10/2023,Sale,LDP,36224135,2285,5,False,False,324,SG,71,11845,689,227,,
80 m²,"4,8 tỷ",12 m,12 m,,,,,,Sổ hồng riêng,,09/10/2023,19/10/2023,Sale,LDP,37348643,0,5,False,True,283,SG,71,133,0,227,,
140 m²,38 tỷ,,,,,,,,Sổ đỏ/ Sổ hồng.,Cơ bản.,16/10/2023,15/11/2023,Sale,LDP,38328374,2034,5,True,False,163,SG,71,134,13607,227,,
68 m²,Thỏa thuận,,,,Tây - Nam,Đông - Nam,2 phòng,2 phòng,Đang chờ sổ,Nội thất cơ bản từ CĐT,13/10/2023,23/10/2023,Sale,LDP,34094497,3049,5,False,False,324,SG,71,11845,3789,227,,
"68,52 m²",Thỏa thuận,,,,Tây - Nam,Tây - Nam,2 phòng,2 phòng,Hợp đồng mua bán,Nội thất cao cấp.,16/10/2023,26/10/2023,Sale,LDP,32726655,3049,5,False,False,324,SG,71,11845,3789,227,,
218 m²,"14,5 tỷ",10 m,12 m,,Nam,,,,Sổ hồng riêng,,09/10/2023,19/10/2023,Sale,LDP,36157558,0,5,False,True,283,SG,71,133,11225,227,,
135 m²,"12,5 tỷ",,,,Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,,16/10/2023,26/10/2023,Sale,LDP,38328723,0,5,False,False,283,SG,71,133,4991,227,,
45 m²,"3,5 tỷ","4,2 m","3,5 m",2 tầng,Bắc,Bắc,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16/10/2023,26/10/2023,Sale,LDP,38325718,0,5,False,False,41,SG,71,12440,3788,227,,
"76,8 m²","7,45 tỷ",,,,,,4 phòng,,,,16/10/2023,26/10/2023,Sale,LDP,38328317,0,5,False,False,41,SG,71,134,1990,227,,
50 m²,"2,3 tỷ",,,,,,1 phòng,1 phòng,,,16/10/2023,26/10/2023,Sale,LDP,26680535,2571,5,False,False,324,SG,71,11953,4996,227,,
75 m²,"3,15 tỷ",,,,,,2 phòng,2 phòng,Đã có sổ đỏ,Đầy đủ nội thất cao cấp,16/10/2023,26/10/2023,Sale,LDP,31672656,132,5,False,False,324,SG,71,133,2850,227,,
684 m²,35 tỷ,10 m,10 m,,Tây - Bắc,,,,Sổ đỏ/ Sổ hồng,,16/10/2023,26/10/2023,Sale,LDP,38103442,0,5,False,False,283,SG,71,139,2132,227,,
68 m²,"2,7 tỷ",,,,,,2 phòng,2 phòng,,,10/10/2023,20/10/2023,Sale,LDP,29788532,2571,5,False,True,324,SG,71,11953,4996,227,,
150 m²,"9,9 tỷ",10 m,10 m,,,,,,Sổ đỏ/ Sổ hồng,,16/10/2023,26/10/2023,Sale,LDP,37030108,0,5,False,False,283,SG,71,133,1433,227,,
128 m²,"10,7 tỷ",8 m,12 m,,,,,,Sổ hồng.,,16/10/2023,26/10/2023,Sale,LDP,36960415,0,5,False,False,283,SG,71,133,11245,227,,
180 m²,22 tỷ,10 m,30 m,5 tầng,,,,,,,16/10/2023,26/10/2023,Sale,LDP,24541064,0,5,False,False,163,SG,71,11953,4996,227,,
400 m²,55 tỷ,12 m,30 m,3 tầng,,,4 phòng,4 phòng,,,16/10/2023,26/10/2023,Sale,LDP,21328870,0,5,False,False,163,SG,71,11953,2097,227,,
280 m²,41 tỷ,8 m,30 m,2 tầng,,,,,,,16/10/2023,26/10/2023,Sale,LDP,25336387,0,5,False,False,163,SG,71,11916,5015,227,,
80 m²,Thỏa thuận,,,,,,,,Sổ hồng,,16/10/2023,26/10/2023,Sale,LDP,18448180,0,5,False,False,283,SG,71,133,11255,227,,
200 m²,40 tỷ,10 m,30 m,5 tầng,,,4 phòng,4 phòng,,,16/10/2023,26/10/2023,Sale,LDP,24565525,0,5,False,False,163,SG,71,11953,5011,227,,
